Keypoint Pixel Distance,CM Distance
165,37.095855712890625
148,31.145843505859375
148,31.943145751953125
158,33.67189025878906
160,37.00163269042969
164,38.17460632324219
179,37.851505279541016
149,33.14690399169922
171,34.288272857666016
187,38.0206413269043
148,33.24423599243164
172,40.291046142578125
184,36.94500732421875
164,38.07170867919922
144,38.434791564941406
153,33.7833251953125
165,34.86284255981445
153,37.49471664428711
145,34.18604278564453
159,33.905799865722656
154,36.64410400390625
161,35.42595672607422
177,34.217159271240234
150,35.14521026611328
154,37.08560562133789
166,35.29326248168945
177,34.52595138549805
149,32.101051330566406
164,36.88507843017578
140,37.67289352416992
145,31.69083595275879
143,35.21766662597656
155,36.88507843017578
188,36.02735900878906
148,33.25265121459961
174,35.51525115966797
161,37.04559326171875
161,33.219390869140625
172,38.73417663574219
148,37.08551788330078
168,32.18828201293945
184,40.82914352416992
159,33.1990852355957
147,37.54572296142578
166,33.520687103271484
186,39.25612258911133
168,35.84049606323242
182,38.26397705078125
192,36.984893798828125
158,35.13468933105469
159,39.22776794433594
158,37.4102783203125
176,34.594932556152344
145,34.312904357910156
176,39.35294723510742
155,35.0762939453125
161,37.57246017456055
181,40.368858337402344
128,34.57848358154297
167,36.33436965942383
137,35.76753234863281
154,38.83690643310547
141,32.61723709106445
155,37.06595993041992
149,37.37107467651367
156,31.78414535522461
115,29.861204147338867
142,31.436416625976562
158,36.88507843017578
176,38.080318450927734
167,39.036067962646484
168,34.36103439331055
170,35.17620849609375
201,40.15678405761719
163,36.13393020629883
151,37.888954162597656
153,32.760379791259766
173,37.515174865722656
145,32.69321823120117
156,37.460208892822266
165,37.65971755981445
164,40.469696044921875
169,38.40177536010742
157,34.5031623840332
162,39.928096771240234
148,32.96037292480469
147,32.918556213378906
219,42.54948043823242
142,30.749710083007812
333,38.0206413269043
163,36.244815826416016
234,37.431182861328125
168,38.99053955078125
162,32.83577346801758
183,39.2413444519043
176,42.8775520324707
192,37.626564025878906
151,35.591304779052734
191,39.51677703857422
142,36.729366302490234
166,39.82232666015625
150,35.357421875
182,35.38660430908203
167,36.29829406738281
179,36.412654876708984
152,31.436416625976562
140,32.26383590698242
168,37.93144607543945
157,32.06452178955078
154,36.57069778442383
147,34.08945083618164
162,33.75651931762695
174,34.94189453125
166,37.916080474853516
171,39.82232666015625
152,35.96683120727539
161,38.3826904296875
212,38.33633804321289
154,32.38570022583008
169,38.547096252441406
128,29.94119644165039
139,33.21379089355469
182,37.070037841796875
129,32.07809829711914
179,36.41386795043945
167,33.47733688354492
166,37.460208892822266
138,34.29978942871094
172,34.12473678588867
173,33.462921142578125
170,37.879642486572266
161,37.29234313964844
157,37.58131408691406
148,33.95187759399414
182,39.223365783691406
165,38.315345764160156
176,37.65971755981445
151,36.73625946044922
165,33.02961730957031
149,37.569786071777344
162,37.90656661987305
168,39.38894271850586
148,33.31666946411133
183,39.78958511352539
178,37.1711540222168
146,34.31735610961914
156,38.27248764038086
179,38.093196868896484
181,34.72777557373047
184,35.80073547363281
155,35.84049606323242
161,39.204864501953125
151,31.020795822143555
159,34.018951416015625
189,36.655303955078125
146,30.34934425354004
149,33.182647705078125
164,34.986019134521484
166,32.93997573852539
148,35.82905197143555
153,32.18828201293945
154,37.04261779785156
149,33.09273910522461
180,37.93239974975586
144,35.85248565673828
159,35.52457046508789
157,38.43894958496094
196,39.78115463256836
142,36.485008239746094
154,31.388038635253906
165,38.39943313598633
161,36.511962890625
177,35.886383056640625
136,34.42557144165039
142,35.865943908691406
