CM Distance,Keypoint Pixel Distance
39.35294723510742,179.3168832733068
35.591304779052734,163.98903679835095
39.78958511352539,190.50214686489252
38.10719680786133,183.4200158312371
36.40070724487305,172.0932883129971
39.223182678222656,172.7574925101978
39.48685073852539,188.60425055743707
38.80073165893555,179.09026304906817
32.18417739868164,158.15314023467127
32.00025177001953,170.61336860194785
34.31735610961914,177.2989257927565
32.702022552490234,167.54715468932946
38.88243865966797,193.88717777742787
35.863285064697266,203.15508834810714
36.69547653198242,171.0876161316062
37.78675842285156,181.12525032744318
35.71326446533203,163.06454907797948
37.01613235473633,179.21033113804256
37.37777328491211,180.49401028254022
38.86300277709961,187.90307869894755
36.726280212402344,160.20614585505686
30.589466094970703,151.509161593619
38.2920036315918,179.57031422835834
37.332679748535156,163.92081341807668
34.36103439331055,181.94582482743704
36.343902587890625,158.46110965594056
36.19296646118164,196.54555468340425
39.29934310913086,183.64854560787995
32.467262268066406,148.9143585105193
37.47515106201172,173.49308405106805
41.53683090209961,186.65201733238246
36.635921478271484,177.15702077024426
35.68914031982422,147.6166990923961
38.33882522583008,187.15114542629456
38.083526611328125,173.41183934389002
38.26397705078125,211.66709666893885
37.8564567565918,173.9823237847234
34.28067398071289,171.05311840777432
39.64839553833008,180.16337685795781
32.777587890625,156.93926467614094
33.71659851074219,175.26696479664545
36.784523010253906,181.8850773744113
33.24423599243164,154.57924884950197
39.29877853393555,176.618837114624
34.470916748046875,153.48543280396999
32.61723709106445,157.27455775034252
34.292789459228516,170.3340747593996
39.200477600097656,187.98733740564995
33.593109130859375,164.12080421604725
33.0548095703125,169.38942445182923
36.191959381103516,166.80717330651396
38.26397705078125,194.26312885847418
33.42591857910156,181.7598929742202
31.91562271118164,158.53882418449987
35.91355514526367,169.04384585758484
32.95097732543945,161.70181815342113
35.529640197753906,164.89721071311362
42.8775520324707,206.29238704397744
38.20553207397461,181.25903534694135
40.6258430480957,186.65017396360403
35.157108306884766,170.99965957250416
31.171001434326172,161.86614091222668
30.443775177001953,150.58744777545814
38.16571807861328,158.72021076883266
36.63552474975586,170.06193894825915
34.31735610961914,177.2989257927565
34.52595138549805,172.5386946869262
31.052135467529297,149.8522171541988
30.59327507019043,163.58210865037336
33.593109130859375,165.59657998535488
35.20572280883789,170.93656254525396
37.19728088378906,183.22445118651086
32.40401077270508,152.9355838000117
32.69584655761719,166.88864308723691
35.87890625,151.39711726863902
34.38118362426758,170.75000606553405
35.24130630493164,163.17367807275588
35.41115188598633,159.9059096917264
32.46049118041992,144.8362136871812
35.70415496826172,174.59539815524397
33.0824089050293,167.21353010136212
36.272483825683594,186.04517875725188
36.642208099365234,172.070503595872
35.763755798339844,168.79068235590353
37.86329650878906,208.11332899780516
35.591304779052734,174.18695517777562
38.282352447509766,163.74855808105747
34.805419921875,175.57109172375687
34.461997985839844,144.1026384359753
36.50857162475586,155.45248814845377
