Pixel Distance,CM Distance
202.89307362758873,39.35294723510742
210.40295537884032,35.591304779052734
207.9626722645783,39.78958511352539
207.4950303355124,38.10719680786133
209.3787240630653,36.40070724487305
187.47268161841967,39.223182678222656
209.2904555417582,39.48685073852539
192.74134821276786,38.80073165893555
203.89732022623429,32.18417739868164
217.82911852204188,32.00025177001953
206.26161226893353,34.31735610961914
208.71593956875148,32.702022552490234
214.69495475953426,38.88243865966797
253.4727531128413,35.863285064697266
200.0605867760587,36.69547653198242
192.23344163383786,37.78675842285156
185.88625289625915,35.71326446533203
197.13991184860595,37.01613235473633
205.86875006488222,37.37777328491211
227.707044752126,38.86300277709961
176.4844139975819,36.726280212402344
192.57924510384453,30.589466094970703
194.13156641333373,38.2920036315918
180.80099063849627,37.332679748535156
221.30208550152884,34.36103439331055
187.98408683589227,36.343902587890625
215.05882008323204,36.19296646118164
210.23374337707892,39.29934310913086
185.484708656475,32.467262268066406
212.24470847870586,37.47515106201172
196.50200223771932,41.53683090209961
210.02938300837272,36.635921478271484
178.57184179182187,35.68914031982422
212.4087052013304,38.33882522583008
192.71736453173992,38.083526611328125
265.93924042388596,38.26397705078125
187.27047815350554,37.8564567565918
190.39635864860176,34.28067398071289
197.3012746027673,39.64839553833008
201.67545160915483,32.777587890625
212.9388851454167,33.71659851074219
212.1045275520389,36.784523010253906
187.77033591862602,33.24423599243164
205.55898903488378,39.29877853393555
182.4430014355683,34.470916748046875
204.34909941019473,32.61723709106445
207.96929275340185,34.292789459228516
221.04447212776824,39.200477600097656
192.41781894403513,33.593109130859375
200.07248803360494,33.0548095703125
190.41882480050748,36.191959381103516
243.98839719482342,38.26397705078125
216.5881099209126,33.42591857910156
192.47064565633772,31.91562271118164
206.0297453722502,35.91355514526367
196.31788187197563,32.95097732543945
204.39705329644522,35.529640197753906
223.1818910260102,42.8775520324707
208.16031977897038,38.20553207397461
204.402453336742,40.6258430480957
200.09196398013552,35.157108306884766
204.74880361611616,31.171001434326172
183.4101333632704,30.443775177001953
181.464049703489,38.16571807861328
202.36750352145137,36.63552474975586
206.26161226893353,34.31735610961914
201.58929907857436,34.52595138549805
193.9065452102771,31.052135467529297
209.40366143263157,30.59327507019043
194.1985873291581,33.593109130859375
200.33856090317474,35.20572280883789
202.1451318878048,37.19728088378906
184.6767902566503,32.40401077270508
206.21165111092057,32.69584655761719
174.3182293813832,35.87890625
200.1544276524557,34.38118362426758
184.46221302289354,35.24130630493164
179.7642646278881,35.41115188598633
182.19337211375102,32.46049118041992
206.56732976750294,35.70415496826172
201.0096093500574,33.0824089050293
213.90219497072903,36.272483825683594
195.05188168158048,36.642208099365234
199.34027438645322,35.763755798339844
217.44207444727135,37.86329650878906
222.88981770361733,35.591304779052734
182.7427257189417,38.282352447509766
220.45148658797993,34.805419921875
177.32405953612653,34.461997985839844
174.7994354911845,36.50857162475586
